x,y,z
-0.341906,0.150234,1.137398
-0.342181,0.160236,1.138344
-0.342165,0.166236,1.138340
-0.338910,0.106224,1.134220
-0.338904,0.108224,1.134219
-0.338899,0.110224,1.134218
-0.339196,0.112225,1.135170
-0.339191,0.114225,1.135168
-0.339185,0.116225,1.135167
-0.339180,0.118225,1.135165
-0.339780,0.120228,1.137070
-0.342198,0.122240,1.144693
-0.344010,0.124249,1.150410
-0.343702,0.126247,1.149455
-0.343999,0.128249,1.150407
-0.344297,0.130250,1.151359
-0.339444,0.132227,1.136109
-0.339135,0.134225,1.135155
-0.339130,0.136225,1.135154
-0.338821,0.138224,1.134199
-0.339119,0.140225,1.135151
-0.339113,0.142225,1.135150
-0.339411,0.144227,1.136101
-0.339405,0.146227,1.136100
-0.340000,0.150230,1.138003
-0.339984,0.156230,1.137999
-0.340281,0.158231,1.138951
-0.339972,0.160230,1.137997
-0.337004,0.106219,1.134826
-0.337301,0.108220,1.135778
-0.337296,0.110220,1.135777
-0.337290,0.112220,1.135775
-0.337285,0.114220,1.135774
-0.337279,0.116220,1.135773
-0.337274,0.118220,1.135771
-0.337874,0.120223,1.137676
-0.340292,0.122235,1.145299
-0.341801,0.124242,1.150063
-0.341796,0.126242,1.150061
-0.341790,0.128242,1.150060
-0.342088,0.130244,1.151012
-0.337538,0.132222,1.136715
-0.337532,0.134222,1.136714
-0.337527,0.136222,1.136713
-0.337521,0.138222,1.136711
-0.337516,0.140222,1.136710
-0.337510,0.142222,1.136709
-0.337505,0.144222,1.136707
-0.337499,0.146222,1.136706
-0.338089,0.152225,1.138608
-0.338083,0.154225,1.138607
-0.338072,0.158225,1.138604
-0.338364,0.162226,1.139554
-0.338358,0.164226,1.139553
-0.335098,0.106214,1.135432
-0.335092,0.108214,1.135431
-0.335390,0.110215,1.136383
-0.335384,0.112215,1.136381
-0.335379,0.114215,1.136380
-0.335070,0.116214,1.135426
-0.335368,0.118215,1.136377
-0.335665,0.120217,1.137329
-0.338386,0.122230,1.145905
-0.339895,0.124237,1.150669
-0.340193,0.126239,1.151620
-0.340187,0.128239,1.151619
-0.340485,0.130240,1.152571
-0.335632,0.132217,1.137321
-0.335626,0.134217,1.137320
-0.335621,0.136217,1.137318
-0.335615,0.138217,1.137317
-0.335610,0.140217,1.137316
-0.335604,0.142217,1.137314
-0.335599,0.144217,1.137313
-0.335593,0.146217,1.137312
-0.336188,0.150220,1.139215
-0.336475,0.156221,1.140164
-0.336166,0.158220,1.139210
-0.336458,0.162221,1.140160
-0.333495,0.106211,1.136991
-0.333186,0.108209,1.136037
-0.333484,0.110211,1.136989
-0.333478,0.112211,1.136987
-0.333473,0.114211,1.136986
-0.333467,0.116211,1.136985
-0.333462,0.118211,1.136983
-0.334062,0.120214,1.138888
-0.336480,0.122225,1.146511
-0.337989,0.124233,1.151274
-0.337984,0.126233,1.151273
-0.337978,0.128233,1.151272
-0.338579,0.130236,1.153176
-0.334029,0.132214,1.138880
-0.333720,0.134212,1.137926
-0.333715,0.136212,1.137924
-0.333709,0.138212,1.137923
-0.333704,0.140212,1.137922
-0.333698,0.142212,1.137920
-0.333693,0.144212,1.137919
-0.333687,0.146212,1.137918
-0.334585,0.150216,1.140774
-0.334580,0.152216,1.140773
-0.334271,0.154215,1.139818
-0.334569,0.156216,1.140770
-0.334552,0.162216,1.140766
-0.334546,0.164216,1.140765
-0.334541,0.166216,1.140764
-0.331589,0.106206,1.137597
-0.331583,0.108206,1.137596
-0.331275,0.110204,1.136641
-0.331269,0.112204,1.136640
-0.331567,0.114206,1.137592
-0.331258,0.116204,1.136637
-0.331556,0.118206,1.137589
-0.331853,0.120207,1.138541
-0.334574,0.122220,1.147117
-0.336083,0.124228,1.151880
-0.336381,0.126229,1.152832
-0.336072,0.128228,1.151878
-0.336673,0.130231,1.153782
-0.331820,0.132207,1.138533
-0.331511,0.134206,1.137578
-0.331809,0.136207,1.138530
-0.331500,0.138206,1.137576
-0.331798,0.140207,1.138528
-0.331792,0.142207,1.138526
-0.331484,0.144206,1.137572
-0.331478,0.146206,1.137571
-0.332079,0.148209,1.139475
-0.332376,0.150210,1.140427
-0.332365,0.154210,1.140424
-0.332360,0.156210,1.140423
-0.332354,0.158210,1.140422
-0.332348,0.160210,1.140420
-0.332343,0.162210,1.140419
-0.329683,0.106201,1.138203
-0.329374,0.108199,1.137249
-0.329672,0.110201,1.138200
-0.329666,0.112201,1.138199
-0.329661,0.114201,1.138198
-0.329655,0.116201,1.138196
-0.329650,0.118201,1.138195
-0.329947,0.120202,1.139147
-0.332668,0.122216,1.147722
-0.334177,0.124223,1.152486
-0.334475,0.126224,1.153438
-0.334166,0.128223,1.152484
-0.334767,0.130226,1.154388
-0.330217,0.132204,1.140092
-0.329908,0.134202,1.139138
-0.329903,0.136202,1.139136
-0.329897,0.138202,1.139135
-0.329892,0.140202,1.139133
-0.329886,0.142202,1.139132
-0.329881,0.144202,1.139131
-0.329875,0.146202,1.139130
-0.330173,0.148204,1.140081
-0.330768,0.152207,1.141985
-0.330459,0.154205,1.141030
-0.330734,0.164207,1.141977
-0.327777,0.106196,1.138809
-0.327771,0.108196,1.138808
-0.327766,0.110196,1.138806
-0.327760,0.112196,1.138805
-0.327452,0.114195,1.137851
-0.327749,0.116196,1.138802
-0.327744,0.118196,1.138801
-0.328344,0.120199,1.140706
-0.330762,0.122211,1.148328
-0.332271,0.124218,1.153092
-0.332266,0.126218,1.153091
-0.332563,0.128220,1.154042
-0.332861,0.130221,1.154994
-0.328008,0.132197,1.139745
-0.328002,0.134198,1.139743
-0.327694,0.136196,1.138789
-0.327991,0.138198,1.139741
-0.327986,0.140198,1.139739
-0.327980,0.142198,1.139738
-0.327975,0.144198,1.139737
-0.327969,0.146197,1.139735
-0.328267,0.148199,1.140687
-0.328862,0.152202,1.142591
-0.328553,0.154200,1.141636
-0.328548,0.156200,1.141635
-0.325871,0.106191,1.139415
-0.325562,0.108190,1.138460
-0.325860,0.110191,1.139412
-0.325854,0.112191,1.139411
-0.325849,0.114191,1.139409
-0.325843,0.116191,1.139408
-0.325838,0.118191,1.139407
-0.326438,0.120194,1.141312
-0.328856,0.122206,1.148934
-0.330365,0.124213,1.153698
-0.330360,0.126213,1.153697
-0.330354,0.128213,1.153695
-0.330652,0.130215,1.154647
-0.326405,0.132194,1.141304
-0.325793,0.134191,1.139396
-0.326091,0.136193,1.140348
-0.326085,0.138193,1.140347
-0.325777,0.140191,1.139392
-0.326074,0.142193,1.140344
-0.325766,0.144191,1.139390
-0.326063,0.146193,1.140341
-0.326361,0.148194,1.141293
-0.326961,0.150197,1.143198
-0.326653,0.152196,1.142243
-0.326647,0.154196,1.142242
-0.326945,0.156197,1.143194
-0.326939,0.158197,1.143192
-0.326614,0.166196,1.142234
-0.323662,0.106185,1.139068
-0.323959,0.108186,1.140019
-0.323954,0.110186,1.140018
-0.323948,0.112186,1.140017
-0.323943,0.114186,1.140015
-0.323937,0.116186,1.140014
-0.323932,0.118186,1.140013
-0.324532,0.120189,1.141917
-0.326950,0.122201,1.149540
-0.328459,0.124208,1.154304
-0.328454,0.126208,1.154303
-0.328751,0.128210,1.155254
-0.328746,0.130210,1.155253
-0.324196,0.132188,1.140957
-0.323887,0.134186,1.140002
-0.323882,0.136186,1.140001
-0.323876,0.138186,1.140000
-0.323871,0.140186,1.139998
-0.324168,0.142188,1.140950
-0.324163,0.144188,1.140949
-0.324157,0.146188,1.140947
-0.324455,0.148189,1.141899
