x,y,z
-0.24697,0.04653,1.0572
-0.24697,0.04853,1.0547
-0.24697,0.05053,1.0532
-0.24697,0.05253,1.0517
-0.24697,0.05453,1.0512
-0.24697,0.05653,1.0507
-0.24697,0.05853,1.0502
-0.24697,0.06053,1.0497
-0.24697,0.06253,1.0487
-0.24697,0.06453,1.0487
-0.24697,0.06653,1.0477
-0.24697,0.06853,1.0472
-0.24697,0.07053,1.0467
-0.24697,0.07253,1.0467
-0.24697,0.07453,1.0457
-0.24697,0.07653,1.0452
-0.24697,0.07853,1.0447
-0.24697,0.08053,1.0437
-0.24697,0.08253,1.0422
-0.24697,0.08453,1.0407
-0.24697,0.08653,1.0397
-0.24697,0.08853,1.0402
-0.24697,0.09053,1.0402
-0.24697,0.09253,1.0407
-0.24697,0.09453,1.0402
-0.24697,0.09653,1.0397
-0.24697,0.09853,1.0392
-0.24697,0.10053,1.0387
-0.24697,0.10253,1.0382
-0.24697,0.10453,1.0367
-0.24697,0.10653,1.0332
-0.24697,0.10853,1.0147
-0.24697,0.11053,1.0127
-0.24697,0.11253,1.0117
-0.24697,0.11453,1.0117
-0.24697,0.11653,1.0122
-0.24497,-0.24947,1.0882
-0.24497,-0.24747,1.0872
-0.24497,-0.24547,1.0867
-0.24497,-0.24347,1.0872
-0.24497,-0.24147,1.0877
-0.24497,-0.23947,1.0877
-0.24497,-0.23747,1.0867
-0.24497,-0.23547,1.0862
-0.24497,-0.23347,1.0857
-0.24497,-0.23147,1.0852
-0.24497,-0.22947,1.0627
-0.24497,-0.22547,1.0627
-0.24497,-0.22347,1.0602
-0.24497,-0.22147,1.0592
-0.24497,-0.21947,1.0582
-0.24497,-0.21747,1.0572
-0.24497,-0.21547,1.0567
-0.24497,-0.21347,1.0567
-0.24497,-0.21147,1.0572
-0.24497,-0.20947,1.0567
-0.24497,-0.20747,1.0582
-0.24497,-0.20547,1.0597
-0.24497,-0.20347,1.0627
-0.24497,-0.20147,1.0707
-0.24497,-0.19947,1.0762
-0.24497,-0.19747,1.0777
-0.24497,-0.19547,1.0792
-0.24497,-0.19347,1.0787
-0.24497,-0.19147,1.0792
-0.24497,-0.18947,1.0792
-0.24497,-0.18747,1.0782
-0.24497,-0.18547,1.0782
-0.24497,-0.18347,1.0772
-0.24497,-0.18147,1.0772
-0.24497,-0.17947,1.0767
-0.24497,-0.17747,1.0762
-0.24497,-0.17547,1.0772
-0.24497,-0.17347,1.0787
-0.24497,-0.17147,1.0822
-0.24497,-0.16947,1.0882
-0.24497,-0.16747,1.0947
-0.24497,-0.16547,1.0987
-0.24497,-0.16347,1.1007
-0.24497,-0.16147,1.1017
-0.24497,-0.15947,1.1012
-0.24497,-0.15747,1.1007
-0.24497,-0.15547,1.1002
